iter	Passed	Remaining
399	45041	57653
400	45160	57548
401	45278	57442
402	45394	57334
403	45511	57227
404	45628	57120
405	45744	57012
406	45860	56903
407	45976	56794
408	46093	56686
409	46208	56577
410	46325	56470
411	46443	56363
412	46555	56249
413	46673	56142
414	46791	56036
415	46907	55927
416	47023	55818
417	47140	55711
418	47258	55604
419	47380	55502
420	47502	55400
421	47621	55294
422	47767	55220
423	47890	55119
424	48018	55023
425	48157	54939
426	48281	54840
427	48408	54742
428	48536	54646
429	48668	54554
430	48793	54453
431	48911	54346
432	49038	54247
433	49165	54150
434	49290	54049
435	49417	53951
436	49542	53850
437	49667	53749
438	49788	53644
439	49915	53545
440	50045	53449
441	50172	53350
442	50292	53243
443	50412	53137
444	50532	53030
445	50650	52921
446	50768	52812
447	50884	52701
448	51000	52590
449	51115	52478
450	51232	52368
451	51349	52258
452	51466	52148
453	51584	52038
454	51699	51926
455	51815	51815
456	51932	51705
457	52048	51594
458	52165	51484
459	52284	51375
460	52401	51264
461	52517	51153
462	52632	51041
463	52749	50930
464	52867	50821
465	52983	50709
466	53101	50599
467	53218	50489
468	53334	50377
469	53451	50266
470	53567	50155
471	53686	50046
472	53804	49936
473	53918	49823
474	54035	49712
475	54150	49600
476	54272	49494
477	54392	49386
478	54508	49273
479	54626	49164
480	54743	49053
481	54858	48940
482	54974	48828
483	55094	48720
484	55214	48611
485	55335	48504
486	55458	48398
487	55575	48286
488	55693	48176
489	55809	48064
490	55925	47952
491	56043	47842
492	56174	47742
493	56290	47630
494	56409	47520
495	56525	47408
496	56643	47297
497	56770	47194
498	56886	47082
499	57008	46975
500	57127	46864
501	57245	46754
502	57365	46645
503	57483	46533
504	57623	46440
505	57741	46330
506	57859	46219
507	57981	46111
508	58097	45998
509	58217	45888
510	58334	45777
511	58455	45668
512	58573	45557
513	58692	45446
514	58810	45335
515	58926	45222
516	59045	45112
517	59162	44999
518	59280	44888
519	59397	44776
520	59513	44663
521	59631	44552
522	59750	44441
523	59867	44329
524	59986	44218
525	60103	44106
526	60222	43995
527	60341	43884
528	60458	43772
529	60579	43662
530	60700	43553
531	60818	43441
532	60937	43331
533	61055	43219
534	61175	43108
535	61294	42997
536	61408	42882
537	61527	42771
538	61647	42661
539	61765	42549
540	61881	42436
541	62003	42327
542	62117	42212
543	62235	42100
544	62354	41989
545	62472	41876
546	62591	41765
547	62707	41652
548	62822	41538
549	62944	41429
550	63062	41316
551	63179	41203
552	63298	41092
553	63416	40980
554	63538	40870
555	63658	40759
556	63776	40647
557	63895	40535
558	64012	40422
559	64127	40308
560	64245	40196
561	64360	40082
562	64478	39969
563	64596	39857
564	64712	39744
565	64830	39631
566	64945	39517
567	65062	39404
568	65181	39292
569	65298	39179
570	65415	39066
571	65531	38952
572	65647	38838
573	65763	38724
574	65881	38612
575	65997	38498
576	66112	38384
577	66231	38272
578	66346	38158
579	66464	38045
580	66581	37931
581	66699	37819
582	66815	37705
583	66932	37592
584	67049	37479
585	67164	37364
586	67283	37252
587	67400	37139
588	67518	37026
589	67634	36912
590	67751	36798
591	67868	36685
592	67985	36572
593	68100	36457
594	68218	36345
595	68333	36230
596	68449	36116
597	68566	36003
598	68682	35889
599	68799	35775
600	68916	35662
601	69034	35549
602	69150	35435
603	69268	35322
604	69386	35209
605	69502	35095
606	69617	34980
607	69735	34867
608	69851	34753
609	69967	34639
610	70083	34525
611	70200	34412
612	70316	34297
613	70435	34185
614	70552	34071
615	70669	33958
616	70786	33844
617	70903	33730
618	71019	33616
619	71136	33502
620	71250	33387
621	71367	33274
622	71483	33160
623	71600	33046
624	71718	32933
625	71835	32819
626	71949	32704
627	72067	32590
628	72182	32476
629	72299	32362
630	72419	32250
631	72535	32135
632	72653	32022
633	72767	31907
634	72885	31794
635	73003	31680
636	73119	31566
637	73240	31454
638	73372	31346
639	73497	31236
640	73617	31123
641	73743	31013
642	73876	30906
643	73995	30793
644	74119	30681
645	74243	30571
646	74361	30457
647	74479	30343
648	74596	30229
649	74713	30115
650	74830	30001
651	74949	29887
652	75069	29774
653	75184	29660
654	75301	29545
655	75418	29431
656	75562	29327
657	75681	29214
658	75798	29100
659	75914	28985
660	76035	28872
661	76152	28758
662	76272	28645
663	76392	28531
664	76507	28417
665	76624	28302
666	76742	28188
667	76861	28075
668	76979	27961
669	77098	27847
670	77232	27739
671	77348	27624
672	77466	27510
673	77583	27396
674	77701	27282
675	77817	27167
676	77934	27052
677	78052	26938
678	78168	26823
679	78285	26709
680	78402	26594
681	78521	26480
682	78637	26366
683	78756	26252
684	78871	26137
685	78988	26022
686	79105	25907
687	79222	25793
688	79338	25678
689	79454	25563
690	79572	25449
691	79690	25335
692	79808	25220
693	79927	25107
694	80050	24994
695	80167	24879
696	80283	24764
697	80400	24650
698	80518	24535
699	80637	24421
700	80753	24306
701	80870	24192
702	80988	24077
703	81107	23963
704	81224	23848
705	81342	23734
706	81457	23619
707	81573	23504
708	81691	23389
709	81806	23274
710	81922	23159
711	82038	23044
712	82154	22929
713	82270	22814
714	82386	22699
715	82501	22584
716	82620	22469
717	82738	22355
718	82853	22240
719	82973	22126
720	83089	22011
721	83207	21896
722	83322	21781
723	83438	21666
724	83556	21551
725	83674	21437
726	83790	21322
727	83904	21206
728	84020	21091
729	84133	20975
730	84249	20860
731	84367	20746
732	84482	20630
733	84597	20515
734	84713	20400
735	84830	20285
736	84945	20170
737	85062	20055
738	85177	19939
739	85295	19825
740	85411	19710
741	85526	19595
742	85645	19480
743	85759	19365
744	85875	19249
745	85993	19135
746	86108	19019
747	86237	18907
748	86352	18792
749	86471	18677
750	86588	18562
751	86703	18447
752	86823	18333
753	86939	18218
754	87054	18102
755	87174	17988
756	87290	17873
757	87407	17758
758	87525	17643
759	87641	17528
760	87759	17413
761	87877	17298
762	87990	17183
763	88110	17068
764	88227	16953
765	88345	16838
766	88459	16723
767	88575	16607
768	88692	16492
769	88822	16380
770	88946	16266
771	89063	16151
772	89179	16036
773	89298	15921
774	89413	15805
775	89530	15690
776	89650	15576
777	89766	15461
778	89887	15346
779	90014	15233
780	90143	15120
781	90268	15006
782	90397	14893
783	90521	14779
784	90652	14666
785	90778	14552
786	90899	14437
787	91024	14323
788	91150	14209
789	91272	14095
790	91393	13980
791	91513	13865
792	91631	13750
793	91760	13636
794	91883	13522
795	92005	13407
796	92126	13292
797	92246	13178
798	92370	13063
799	92491	12948
800	92608	12833
801	92732	12718
802	92855	12604
803	92981	12490
804	93099	12374
805	93228	12260
806	93348	12145
807	93470	12030
808	93588	11915
809	93705	11799
810	93825	11684
811	93945	11569
812	94070	11455
813	94192	11340
814	94315	11225
815	94434	11109
816	94558	10995
817	94677	10879
818	94803	10765
819	94922	10649
820	95042	10534
821	95165	10419
822	95287	10304
823	95405	10188
824	95524	10073
825	95644	9958
826	95764	9842
827	95883	9727
828	96005	9612
829	96122	9496
830	96245	9381
831	96365	9265
832	96492	9151
833	96612	9035
834	96734	8920
835	96852	8804
836	96972	8689
837	97093	8573
838	97213	8458
839	97333	8342
840	97458	8227
841	97578	8112
842	97702	7997
843	97830	7882
844	97965	7767
845	98086	7652
846	98206	7536
847	98329	7421
848	98448	7305
849	98573	7190
850	98698	7074
851	98821	6959
852	98953	6844
853	99073	6728
854	99196	6613
855	99318	6497
856	99442	6381
857	99577	6267
858	99712	6152
859	99847	6037
860	99984	5922
861	100131	5808
862	100267	5693
863	100418	5578
864	100544	5463
865	100667	5347
866	100791	5231
867	100912	5115
868	101035	4999
869	101158	4883
870	101274	4767
871	101392	4651
872	101512	4534
873	101634	4418
874	101758	4302
875	101880	4186
876	102000	4070
877	102118	3954
878	102240	3838
879	102363	3722
880	102482	3606
881	102605	3489
882	102726	3373
883	102846	3257
884	102967	3141
885	103085	3025
886	103209	2908
887	103332	2792
888	103456	2676
889	103578	2560
890	103699	2444
891	103819	2327
892	103939	2211
893	104059	2095
894	104178	1978
895	104297	1862
896	104418	1746
897	104538	1629
898	104657	1513
899	104775	1397
900	104895	1280
901	105013	1164
902	105131	1047
903	105254	931
904	105372	815
905	105494	698
906	105616	582
907	105736	465
908	105854	349
909	105973	232
910	106093	116
911	106214	0
